UberID,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID5230402179,2,2,7,-37.8225695,144.95274519999998,-37.8618349,144.90571599999998,8472.0,2018-01-02,03:17:35,2885.1,04:05:40,230.62
ID1677847535,0,7,6,-37.8618349,144.90571599999998,-37.7738026,144.98364660000001,16033.0,2018-07-07,01:53:07,5320.6799999999985,03:21:47,23.52
ID3457854587,1,4,1,-37.8020781,144.9885617,-37.8156548,144.963956,3307.0,2018-01-10,00:16:13,861.2400000000001,00:30:34,18.87
ID3328177715,1,3,4,-37.824990500000006,144.98204730000003,-37.8087653,144.9961892,2852.0,2018-04-20,01:51:33,678.5400000000001,02:02:51,19.72
ID1261900839,0,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-03-28,06:07:21,11413.260000000006,09:17:34,21.36
ID1647762302,0,5,6,-37.8048626,144.92443469999998,-37.7738026,144.98364660000001,10841.0,2018-01-07,02:53:47,3266.400000000001,03:48:13,18.59
ID3481693880,1,3,6,-37.8247896,144.982697,-37.773845,144.9836895,6550.0,2018-02-18,22:55:14,1426.56,23:19:00,25.04
ID1519595245,0,9,1,-38.1109156,144.65417250000002,-37.800878000000004,144.9711567,45048.0,2018-05-27,02:58:18,10968.420000000007,06:01:06,31.17
ID1213707077,0,4,8,-37.806425,145.0080358,-37.807202000000004,145.0266373,1829.0,2018-04-11,07:26:52,455.4,07:34:27,1.29
ID1504215632,0,4,9,-37.802362,144.9915361,-38.1109156,144.65417250000002,46929.0,2018-05-10,02:20:37,11357.519999999999,05:29:54,27.46
ID3574237709,1,7,5,-37.8618349,144.90571599999998,-37.791773799999994,144.93594009999998,13806.0,2018-05-11,23:27:05,4307.699999999999,00:38:52,32.36
ID3608579587,1,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-07-08,06:05:38,12681.059999999998,09:36:59,53.78
ID3346261741,1,4,7,-37.81074,145.0139863,-37.8618349,144.90571599999998,12686.0,2018-03-12,08:04:08,3983.0400000000013,09:10:31,17.94
ID1509206932,0,4,7,-37.8001032,145.0050381,-37.8618349,144.90571599999998,12422.0,2018-03-24,22:58:46,3945.840000000002,00:04:31,21.05
ID1774019647,0,5,3,-37.8045967,144.9196376,-37.82133579999999,144.9844195,6710.0,2018-06-28,05:11:32,1614.0600000000004,05:38:26,11.89
ID3979366935,1,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-03-19,21:49:16,12069.779999999999,01:10:25,59.6
ID3238549337,1,2,5,-37.8092101,144.9291215,-37.805623700000005,144.93317050000002,1257.0,2018-02-10,14:39:50,333.18,14:45:23,15.93
ID3157721032,1,8,1,-37.8158343,145.04645,-37.8208117,144.9550899,8588.0,2018-05-24,13:19:44,2477.580000000001,14:01:01,20.36
ID1471408918,0,6,2,-37.7874325,144.9803767,-37.8132882,144.94040880000003,5604.0,2018-07-22,09:45:58,1411.68,10:09:29,9.78
ID1423308586,0,4,3,-37.8020781,144.9885617,-37.8233026,144.96800380000002,3741.0,2018-06-06,21:50:31,1007.5800000000002,22:07:18,12.8
ID1319524802,0,5,4,-37.8093172,144.9340149,-37.8086792,145.0067071,6951.0,2018-02-16,03:36:40,1704.0600000000004,04:05:04,12.2
ID1314165349,0,2,5,-37.8250769,144.9513625,-37.8618349,144.90571599999998,8478.0,2018-06-05,09:41:45,2946.6,10:30:51,7.01
ID1276471428,0,8,5,-37.807202000000004,145.0266373,-37.7992528,144.9364904,8562.0,2018-01-20,20:22:32,2275.14,21:00:27,15.86
ID1296668879,0,8,3,-37.8158343,145.04645,-37.8157138,144.973834,6850.0,2018-06-13,14:59:27,1996.0800000000004,15:32:43,8.8
ID1152104847,0,6,8,-37.7738026,144.98364660000001,-37.807202000000004,145.0266373,11470.0,2018-04-13,11:26:13,3452.8199999999997,12:23:45,9.31
ID3446621021,1,8,5,-37.8158343,145.04645,-37.8114979,145.00974509999998,3275.0,2018-04-28,06:46:19,1117.3200000000002,07:04:56,10.89
ID1397385284,0,5,6,-37.8061816,144.9396584,-37.7907967,144.985865,6694.0,2018-05-12,13:33:04,1949.3400000000004,14:05:33,14.1
ID1766169171,0,4,5,-37.804320399999995,145.00107419999998,-37.8059773,144.92798200000001,7423.0,2018-02-12,14:33:41,1850.9399999999991,15:04:31,10.21
ID3898139240,1,4,2,-37.8166264,145.0073186,-37.810574700000004,144.939228,6788.0,2018-01-13,20:05:48,1661.519999999999,20:33:29,20.62
ID3530669789,1,5,3,-37.805375299999994,144.9347304,-37.8209652,144.984026,5469.0,2018-06-12,07:51:01,1408.6800000000005,08:14:29,10.66
ID1441783977,0,1,4,-37.804111999999996,144.9739368,-37.8042304,144.9947019,2306.0,2018-07-25,18:28:34,650.6999999999999,18:39:24,7.77
ID1366073223,0,9,1,-38.1109156,144.65417250000002,-37.8135186,144.9656215,43551.0,2018-06-15,14:21:06,10464.420000000002,17:15:30,24.28
ID1351973254,0,2,3,-37.8144195,144.93535500000002,-37.816734600000004,144.9881896,5402.0,2018-04-02,05:58:47,1303.3800000000003,06:20:30,10.3
ID3516439736,1,8,5,-37.807202000000004,145.0266373,-37.8029182,144.9281234,9411.0,2018-04-28,12:30:11,2439.1799999999994,13:10:50,21.32
ID1205164474,0,2,8,-37.8136707,144.9367091,-37.8158343,145.04645,10421.0,2018-02-18,17:06:28,2903.58,17:54:51,16.72
ID1918934209,0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-06-03,20:35:26,4911.599999999998,21:57:17,19.84
ID1632901508,0,5,1,-37.80492720000001,144.9394914,-37.8200571,144.9583373,2714.0,2018-02-16,19:19:53,742.1400000000003,19:32:15,8.5
ID1982047403,0,2,7,-37.8136538,144.93060269999998,-37.8618349,144.90571599999998,11781.0,2018-06-04,05:08:09,3771.420000000001,06:11:00,16.31
ID3447603359,1,2,4,-37.8152763,144.9366486,-37.8031395,144.9956372,6040.0,2018-04-12,20:27:42,1523.6399999999999,20:53:05,14.34
ID5234461795,2,6,4,-37.7874421,144.9804091,-37.805564700000005,144.9944437,3329.0,2018-06-23,10:22:33,829.9799999999998,10:36:22,77.63
ID5813116376,2,8,2,-37.8158343,145.04645,-37.8142222,144.94291069999997,9453.0,2018-04-05,10:33:29,2703.719999999999,11:18:32,199.87
ID3645278684,1,9,5,-38.1109156,144.65417250000002,-37.7972646,144.93133490000002,44983.0,2018-04-14,15:52:52,10797.179999999995,18:52:49,52.17
ID1796576328,0,6,1,-37.773845,144.9836895,-37.8064999,144.9560899,5357.0,2018-05-21,04:43:15,1099.6200000000001,05:01:34,10.65
ID5801669950,2,3,1,-37.817347399999996,145.008734,-37.818191299999995,144.9669356,4044.0,2018-01-08,23:01:19,1014.36,23:18:13,101.46
ID3699819483,1,1,6,-37.82211229999999,144.9536015,-37.7738026,144.98364660000001,9764.0,2018-05-26,15:37:09,2956.08,16:26:25,26.62
ID3360566454,1,3,4,-37.820260600000005,144.9696655,-37.812571399999996,145.01252209999998,4905.0,2018-03-02,05:39:20,1295.9399999999998,06:00:55,21.22
ID1916274795,0,8,1,-37.807202000000004,145.0266373,-37.809531899999996,144.9490073,7590.0,2018-03-12,07:45:44,1926.599999999999,08:17:50,6.0
ID3766761126,1,2,6,-37.821611,144.9362424,-37.773845,144.9836895,8332.0,2018-06-01,21:43:20,1904.58,22:15:04,21.98
ID3302933476,1,7,5,-37.8618349,144.90571599999998,-37.8101861,144.93057980000003,11772.0,2018-05-27,06:21:15,3748.3199999999993,07:23:43,24.07
ID1915840297,0,3,8,-37.815563399999995,144.9930676,-37.8158343,145.04645,5187.0,2018-05-09,20:21:23,1598.52,20:48:01,10.34
ID3475809456,1,7,1,-37.8618349,144.90571599999998,-37.80679779999999,144.9571225,9268.0,2018-02-05,12:58:32,3118.5000000000005,13:50:30,22.4
ID1579081461,0,8,1,-37.807202000000004,145.0266373,-37.8068568,144.9643198,6042.0,2018-02-12,09:29:41,1525.6799999999998,09:55:06,4.34
ID5324245360,2,6,5,-37.773845,144.9836895,-37.804810700000004,144.9281335,7651.0,2018-02-11,18:12:16,1678.7399999999998,18:40:14,144.27
ID1538829322,0,5,3,-37.808146799999996,144.9342466,-37.8114235,144.9760123,4322.0,2018-05-23,03:59:11,1036.0799999999997,04:16:27,11.86
ID5336709786,2,2,1,-37.8139221,144.9404494,-37.807756299999994,144.95465049999999,1770.0,2018-05-19,23:47:09,450.66000000000014,23:54:39,69.31
ID1570393296,0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-01-14,11:48:23,4911.599999999998,13:10:14,14.85
ID1728414874,0,1,9,-37.815248700000005,144.9747429,-38.1109156,144.65417250000002,44509.0,2018-01-26,02:52:51,10747.8,05:51:58,25.9
ID3422447646,1,4,2,-37.80115120000001,145.003712,-37.81524829999999,144.93410730000002,7166.0,2018-07-12,00:53:24,1792.86,01:23:16,23.31
ID3114817116,1,9,4,-38.1109156,144.65417250000002,-37.8166864,145.0134205,48140.0,2018-02-22,23:47:50,11588.880000000001,03:00:58,59.56
ID3156344222,1,4,2,-37.8113201,145.0004866,-37.8158801,144.9369481,6081.0,2018-06-09,07:25:09,1547.7000000000005,07:50:56,14.33
ID1524839155,0,5,6,-37.805931,144.93810469999997,-37.7874325,144.9803767,5895.0,2018-02-25,13:50:04,1572.6000000000008,14:16:16,13.58
ID1702474414,0,7,1,-37.8618349,144.90571599999998,-37.80888970000001,144.94895,9556.0,2018-06-12,23:32:22,3234.3599999999974,00:26:16,14.97
ID5927244918,2,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-04-06,15:15:59,2302.38,15:54:21,178.62
ID1509990868,0,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-04-06,23:01:19,11530.619999999999,02:13:29,27.15
ID1759278337,0,7,3,-37.8618349,144.90571599999998,-37.8186258,145.0054944,11118.0,2018-03-01,01:51:31,3534.4799999999987,02:50:25,15.37
ID1935231886,0,4,9,-37.8007346,145.0020597,-38.1109156,144.65417250000002,47793.0,2018-02-25,04:19:15,11577.66,07:32:12,31.63
ID5786319274,2,7,2,-37.8618349,144.90571599999998,-37.8145317,144.9382023,10304.0,2018-07-08,03:46:06,3389.3999999999987,04:42:35,272.42
ID3727292023,1,1,9,-37.8070706,144.97126619999997,-38.1109156,144.65417250000002,44407.0,2018-07-04,14:15:01,10768.38,17:14:29,50.6
ID1405100265,0,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-01-10,15:46:37,12069.779999999999,19:07:46,25.33
ID1536835762,0,1,3,-37.8134036,144.9740726,-37.8212208,144.9839138,1495.0,2018-02-12,08:21:54,350.3399999999999,08:27:44,4.68
ID1531220184,0,1,4,-37.8176985,144.9692462,-37.802648100000006,145.0009241,4377.0,2018-02-05,11:22:44,1179.96,11:42:23,3.54
ID5260370303,2,3,1,-37.8232695,144.97832240000002,-37.8096965,144.938704,4821.0,2018-01-03,05:39:51,1216.6200000000003,06:00:07,115.34
ID1690764926,0,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-07-24,11:57:02,12099.660000000003,15:18:41,20.83
ID1775529103,0,1,9,-37.8186271,144.9679277,-38.1109156,144.65417250000002,43877.0,2018-01-11,11:53:47,10568.16,14:49:55,18.81
ID3971565770,1,4,8,-37.81081079999999,145.01115149999998,-37.8158343,145.04645,4057.0,2018-04-07,20:53:06,1287.96,21:14:33,18.27
ID5770772115,2,4,6,-37.8006565,145.00315930000002,-37.7874325,144.9803767,3591.0,2018-03-13,14:00:28,905.6400000000001,14:15:33,84.26
ID3640266367,1,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-04-11,18:35:02,4917.479999999999,19:56:59,29.25
ID1123272681,0,8,2,-37.8158343,145.04645,-37.8145973,144.9384187,9868.0,2018-04-23,09:18:51,2760.839999999998,10:04:51,6.73
ID3119221510,1,4,7,-37.8130627,145.0117925,-37.8618349,144.90571599999998,12223.0,2018-04-14,03:06:52,3826.6200000000003,04:10:38,34.85
ID1625628147,0,7,4,-37.8618349,144.90571599999998,-37.813578799999995,145.0107023,12219.0,2018-07-06,15:02:51,3811.019999999999,16:06:22,12.56
ID3929768991,1,3,2,-37.822042100000004,145.00323930000002,-37.811613799999996,144.9381312,6993.0,2018-03-15,16:03:46,1659.5399999999997,16:31:25,16.98
ID1982123590,0,3,2,-37.8194685,144.97912730000002,-37.8144195,144.93535500000002,4520.0,2018-06-24,08:51:47,1119.2399999999998,09:10:26,8.95
ID1698394407,0,2,6,-37.8146901,144.94662730000002,-37.7874421,144.9804091,5017.0,2018-01-21,04:21:09,1252.8000000000002,04:42:01,16.82
ID3876463405,1,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-05-08,09:32:15,2437.38,10:12:52,13.09
ID5715765090,2,6,4,-37.773845,144.9836895,-37.804267200000005,144.9947565,5689.0,2018-01-11,01:07:49,1178.7600000000004,01:27:27,111.03
ID1901116498,0,6,3,-37.7874325,144.9803767,-37.8179899,144.9941126,4560.0,2018-02-06,15:42:50,1183.62,16:02:33,9.35
ID1330230880,0,4,3,-37.803262,145.0004241,-37.824205299999996,144.9834431,3699.0,2018-04-10,15:01:51,974.5200000000007,15:18:05,6.93
ID3913069606,1,7,2,-37.8618349,144.90571599999998,-37.8181284,144.94858480000002,9043.0,2018-05-16,15:19:26,3068.219999999999,16:10:34,21.47
ID3753061723,1,9,2,-38.1109156,144.65417250000002,-37.8151848,144.94501630000002,41899.0,2018-01-02,14:24:26,10086.48,17:12:32,47.32
ID1124464591,0,3,8,-37.8196791,144.9816751,-37.807202000000004,145.0266373,5455.0,2018-06-13,13:03:05,1355.4000000000003,13:25:40,9.77
ID1246239298,0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-07-26,14:06:46,4911.599999999998,15:28:37,13.31
ID3584760170,1,6,5,-37.7874421,144.9804091,-37.8044811,144.9364001,5870.0,2018-03-18,23:02:45,1584.6,23:29:09,24.72
ID1386469306,0,6,8,-37.773845,144.9836895,-37.8158343,145.04645,10698.0,2018-07-14,12:17:26,2756.46,13:03:22,15.47
ID3192838036,1,5,9,-37.806295899999995,144.9282542,-38.1109156,144.65417250000002,43647.0,2018-07-25,08:57:17,10476.3,11:51:53,42.86
ID1466193196,0,2,8,-37.8209083,144.94230159999998,-37.8158343,145.04645,9807.0,2018-03-09,08:43:22,2803.3200000000006,09:30:05,8.32
ID1749866349,0,4,5,-37.800460799999996,144.995272,-37.8037477,144.9307499,6671.0,2018-04-20,05:32:00,1698.4799999999993,06:00:18,13.19
ID1643676540,0,7,2,-37.8618349,144.90571599999998,-37.8138489,144.9330201,11246.0,2018-03-03,07:08:02,3685.739999999998,08:09:27,13.95
ID3622161196,1,6,9,-37.7874325,144.9803767,-38.1109156,144.65417250000002,47033.0,2018-02-16,18:29:43,11350.5,21:38:53,52.15
ID3512927858,1,5,8,-37.7998166,144.93624690000001,-37.8158343,145.04645,10087.0,2018-07-05,10:44:19,2827.8,11:31:26,16.32
ID3452599359,1,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-03-28,03:09:31,11530.619999999999,06:21:41,59.26
ID3536757925,1,7,8,-37.8618349,144.90571599999998,-37.807202000000004,145.0266373,13986.0,2018-05-07,08:55:55,4292.399999999998,10:07:27,20.11
ID3978552055,1,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-04-06,03:06:19,12099.660000000003,06:27:58,60.64
ID1305988899,0,4,8,-37.816322899999996,145.01108069999998,-37.8158343,145.04645,3978.0,2018-03-07,02:13:20,1286.16,02:34:46,11.94
ID3638816370,1,5,6,-37.799037299999995,144.93262190000002,-37.7874421,144.9804091,5717.0,2018-05-28,10:34:59,1479.3599999999997,10:59:38,10.16
ID3875354927,1,2,6,-37.8208079,144.9277856,-37.7874325,144.9803767,7747.0,2018-06-27,20:30:13,1984.320000000001,21:03:17,17.86
ID5856749839,2,8,4,-37.8158343,145.04645,-37.8057117,144.99594299999998,4982.0,2018-03-20,06:45:48,1572.7800000000004,07:12:00,120.94
ID1690751412,0,3,9,-37.8168862,144.988144,-38.1109156,144.65417250000002,45705.0,2018-03-28,07:15:57,11054.279999999999,10:20:11,21.35
ID3352070088,1,8,5,-37.8158343,145.04645,-37.796003799999994,144.93607649999998,10388.0,2018-07-17,08:34:09,2871.0,09:22:00,16.52
ID1132118213,0,7,5,-37.8618349,144.90571599999998,-37.799659000000005,144.9248126,11915.0,2018-01-19,12:34:18,3743.339999999999,13:36:41,13.12
ID1871603694,0,2,5,-37.8246356,144.9466172,-37.7954792,144.936073,3775.0,2018-04-13,01:01:54,883.9200000000003,01:16:37,11.25
ID1694756370,0,5,9,-37.802954,144.9359682,-38.1109156,144.65417250000002,43835.0,2018-06-26,18:28:25,10528.679999999998,21:23:53,22.95
ID1293563013,0,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-03-15,04:19:26,11530.619999999999,07:31:36,29.54
ID5589753272,2,5,4,-37.8083333,144.9351746,-37.8070501,144.99087450000002,5405.0,2018-07-28,16:20:17,1325.8799999999999,16:42:22,119.86
ID5282914313,2,8,4,-37.8158343,145.04645,-37.814128600000004,145.004671,4000.0,2018-05-05,17:39:46,1278.9000000000003,18:01:04,118.23
ID1606178392,0,7,5,-37.8618349,144.90571599999998,-37.793445399999996,144.9363949,11836.0,2018-01-27,19:05:09,3839.5199999999995,20:09:08,17.25
ID3129037359,1,9,3,-38.1109156,144.65417250000002,-37.8248747,144.9848906,45654.0,2018-04-10,22:01:47,11026.56,01:05:33,56.93
ID1285765582,0,7,6,-37.8618349,144.90571599999998,-37.7874421,144.9804091,11630.0,2018-02-24,01:06:14,3678.539999999999,02:07:32,19.64
ID3198158403,1,4,5,-37.8158649,145.015594,-37.799614399999996,144.9327719,10297.0,2018-01-16,13:54:12,2515.560000000001,14:36:07,18.62
ID3896053602,1,2,7,-37.8161011,144.9339196,-37.8618349,144.90571599999998,10733.0,2018-06-04,00:46:07,3495.9000000000005,01:44:22,29.93
ID3274847167,1,4,1,-37.8146136,145.0091926,-37.8194373,144.9609862,4756.0,2018-04-05,15:27:41,1231.4400000000005,15:48:12,14.84
ID3763132821,1,4,3,-37.801485299999996,145.00364219999997,-37.817898,145.00356599999998,2621.0,2018-03-10,01:12:07,650.1000000000003,01:22:57,25.59
ID1278290427,0,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-01-06,21:17:09,12099.660000000003,00:38:48,32.41
ID1321391305,0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-05-22,16:27:26,12681.060000000005,19:58:47,25.32
ID5704241022,2,2,4,-37.815931299999995,144.93553400000002,-37.8012882,145.0036959,6992.0,2018-07-18,04:31:06,1784.1,05:00:50,153.19
ID3596986824,1,3,2,-37.8103816,144.9898444,-37.8140346,144.9470579,4282.0,2018-04-18,10:00:20,1030.6800000000005,10:17:30,9.51
ID3111209898,1,1,5,-37.8178415,144.9687058,-37.800362899999996,144.933905,7352.0,2018-02-05,15:51:44,1778.3999999999999,16:21:22,18.56
ID1744163346,0,6,3,-37.7738026,144.98364660000001,-37.8182669,145.0005497,10209.0,2018-04-15,23:57:04,3106.2600000000007,00:48:50,19.53
ID1337799376,0,6,9,-37.773845,144.9836895,-38.1109156,144.65417250000002,48197.0,2018-05-20,16:38:12,11519.399999999998,19:50:11,26.29
ID3191950086,1,8,5,-37.8158343,145.04645,-37.800847600000004,144.9347748,12303.0,2018-04-24,13:09:10,3363.18,14:05:13,21.3
ID3461888737,1,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-04-25,03:36:42,13204.979999999994,07:16:46,65.6
ID1255488358,0,7,6,-37.8618349,144.90571599999998,-37.7738026,144.98364660000001,16033.0,2018-05-11,06:55:26,5320.6799999999985,08:24:06,11.14
ID1652945798,0,5,2,-37.8050968,144.9287544,-37.8196979,144.95149650000002,2953.0,2018-07-20,11:30:29,785.8199999999997,11:43:34,4.64
ID1961082121,0,9,3,-38.1109156,144.65417250000002,-37.8221923,144.96805849999998,44107.0,2018-06-15,22:18:12,10715.159999999996,01:16:47,25.25
ID3454454680,1,1,5,-37.8026956,144.9635946,-37.8001131,144.93530959999998,5564.0,2018-05-23,03:45:28,1391.94,04:08:39,20.62
ID1486145831,0,1,7,-37.812106400000005,144.95337680000003,-37.8618349,144.90571599999998,8960.0,2018-07-18,23:55:12,3062.46,00:46:14,16.04
ID1191999761,0,3,5,-37.8175356,144.98986100000002,-37.806396899999996,144.9322957,5929.0,2018-01-20,15:34:38,1490.7600000000002,15:59:28,14.53
ID1223802903,0,5,9,-37.8092101,144.9291215,-38.1109156,144.65417250000002,43429.0,2018-07-18,07:35:30,10401.3,10:28:51,20.13
ID1626229990,0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-07-09,11:28:41,13173.359999999999,15:08:14,22.46
ID1744560991,0,5,4,-37.803344700000004,144.93685119999998,-37.8145067,144.99993519999998,6572.0,2018-03-17,14:31:18,1639.0799999999995,14:58:37,14.01
ID1807135319,0,4,1,-37.814546500000006,145.0142926,-37.809486299999996,144.9639495,4826.0,2018-01-22,18:02:21,1203.5400000000002,18:22:24,7.71
ID5712603423,2,7,4,-37.8618349,144.90571599999998,-37.8145441,145.0141839,12287.0,2018-01-17,01:06:10,3828.599999999999,02:09:58,295.75
ID5143022494,2,9,5,-38.1109156,144.65417250000002,-37.799048299999995,144.9324169,45105.0,2018-06-05,20:16:13,10856.339999999997,23:17:09,772.97
ID5379899491,2,1,6,-37.8132915,144.97355919999998,-37.773845,144.9836895,4808.0,2018-03-09,14:35:24,994.0799999999999,14:51:58,90.66
ID3929940317,1,9,2,-38.1109156,144.65417250000002,-37.824418200000004,144.94836899999999,42361.0,2018-06-07,18:32:42,10186.439999999999,21:22:28,48.05
ID3964963345,1,3,2,-37.8247565,144.9886916,-37.8189575,144.94663730000002,4299.0,2018-05-14,13:42:49,1123.6800000000007,14:01:32,14.61
ID5152827212,2,8,7,-37.807202000000004,145.0266373,-37.8618349,144.90571599999998,13986.0,2018-06-20,16:19:09,4298.280000000001,17:30:47,319.02
